Author		BunnieNoiz
Created		07 June 2021
Link		https://www.thesims3.com/assetDetail.html?assetId=9466249
DLCs		Base Game, Supernatural, Showtime, Into The Future, Late Night, Fast Lane, Town Life

Inspiration		https://sims.fandom.com/wiki/Butler#The_Sims_3:_Late_Night
Inspiration		Sebastian Michaelis, Alfred Pennyworth, Gotoh ( HxH )
Derivative Of	https://www.thesims3.com/assetDetail.html?assetId=9466169
Disclaimer		Not actually a butler NPC, but you can add him as a Sim to your household and have him do butler things

Sim			Aeternum Aevum
Gender		Male
Age			Young Adult
Subtype		Vampire

Skin		None
Build		Ripped
Weight		Boney

Parents		Unknown
Spouse		None
Children	None
Family		None

Traits			Natural Cook, Proper, Neat, Handy, Green Thumb
Lifetime Wish	Renaissance Sim
Favorite Food	Sushi
Favorite Music	Classical
Favorite Colour	White
Astro Sign 		Gemini

Aeternum		Eternally, always, perpetually, constantly
Aevum			The midpoint between time and eternity; the mode of being of the angels, saints, and celestial bodies
Purpose			Gentleman, butler, and caretaker of the main household
Intention		If you want to take care of Sims as a butler, you can use the University life pack for roommates, then take care of them as needed
Description		Aeternum is a well-learned, intelligent, knowledgeable, and well-traveled man of many experiences. He serves the main household with great pride, loyalty, love, and care. He does many tasks including: cleaning the house, does the laundry, washing dishes, serving delicious food of the highest quality, buys food and other essentials, tends to the garden, watering plants, making beds, fending off obsessive fans, caring for babies and children, tutoring children, feeding and cleaning up after pets, protecting the main family from harm ( such as fires, burglars, and other life-threatening situations ), repairing broken objects and electronics, evicting party crashers, entertain party guests with their musical talent and skills, interacting with Sims, giving wondrous insights and advice, answers house phones, and much more. He is the butler, maid, gardener, repairman, nanny, deliveryman, and bodyguard all at once.
